1,GasterBlaster,2,640,100,500,306,90,0,6
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
1,GasterBlaster,2,640,100,450,306,90,0,5
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
1,GasterBlaster,2,640,100,400,306,90,0,4
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
1,GasterBlaster,2,640,100,350,306,90,0,3
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
1,GasterBlaster,2,640,100,300,306,90,0,2
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
1,GasterBlaster,2,640,100,250,306,90,0,1
1,GasterBlaster,2,640,100,200,306,90,0,0
5,JMPABS,RndAttack,,,,,,,
0,:Attack8Other,,,,,,,,
0,SansX,123.5,,,,,,,
0,HeartTeleport,168,376,,,,,,
0,BoneVRepeat,297,340,100,2,120,30,150,
0,BoneVRepeat,345,260,70,0,120,30,150,
1,GasterBlaster,2,640,100,50,306,90,0,8
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
1,GasterBlaster,2,640,100,100,306,90,0,7
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
1,GasterBlaster,2,640,100,150,306,90,0,6
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
1,GasterBlaster,2,640,100,200,306,90,0,5
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
1,GasterBlaster,2,640,100,250,306,90,0,4
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
1,GasterBlaster,2,640,100,300,306,90,0,3
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
1,GasterBlaster,2,640,100,350,306,90,0,2
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
1,GasterBlaster,2,640,100,400,306,90,0,1
1,GasterBlaster,2,640,100,450,306,90,0,0
5,JMPABS,RndAttack,,,,,,,
0,:End,,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,,
0,EndAttack,,,,,,,,
