0,CombatZoneResize,103,251,538,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,BoneStab,0,150,0.1,0,,,,
0.1,BoneStab,2,160,0.1,8,,,,
0,BoneStab,0,160,0.1,8,,,,
0,SansHead,Noeyes
8,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.13333,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,BoneStab,2,20,0.3,2,,,,
0,BoneStab,0,20,0.3,2,,,,
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,0,330,180,321,166,90,0.3,0.2

0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,1,330,180,321,166,90,0.3,0.2

0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
0.01,GasterBlaster,2,330,180,321,166,90,0.3,0.2
1,EndAttack,,,,,,,
